Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,TotalRebounds,Assists,PersonalFouls,Points,Awards
1972-73,118.0,Flynn Robinson,31.0,LAL,SG,6.0,,7.8,2.3,4.7,0.5,1.0,1.3,0.75,1.2,1.3,1.8,5.7,
1972-73,118.0,Flynn Robinson,31.0,BAL,SG,38.0,,15.3,3.1,6.8,0.458,0.7,0.8,0.839,1.4,2.0,1.6,6.9,
1972-73,119.0,Lamar Green,25.0,PHO,PF,80.0,,25.6,2.8,6.5,0.431,1.1,1.5,0.754,9.3,1.1,3.3,6.7,
1972-73,120.0,Rick Adelman,26.0,POR,PG,76.0,,24.0,2.8,6.9,0.408,1.0,1.3,0.716,2.1,3.9,2.0,6.6,
1972-73,121.0,Butch Beard,25.0,SEA,PG,73.0,,19.2,2.6,6.0,0.439,1.4,1.9,0.714,2.4,3.4,1.9,6.6,
1972-73,122.0,Kevin Porter,22.0,BAL,PG,71.0,,17.1,2.9,6.4,0.455,0.9,1.4,0.614,1.0,3.3,2.9,6.6,
1972-73,123.0,Lee Winfield,25.0,SEA,PG,53.0,,20.0,2.7,6.3,0.431,1.2,2.0,0.574,2.4,3.5,1.7,6.6,
1972-73,124.0,Steve Bracey,22.0,ATL,PG,70.0,,15.0,2.7,5.6,0.486,1.0,1.6,0.664,1.5,1.8,1.8,6.5,
1972-73,125.0,Barry Clemens,29.0,CLE,SF,72.0,,15.5,2.9,5.6,0.516,0.7,0.9,0.779,2.9,1.6,1.9,6.5,
1972-73,126.0,Chris Ford,24.0,DET,SG,74.0,,20.8,2.8,5.9,0.479,0.8,1.3,0.645,3.6,2.6,1.8,6.4,ROY-3
1972-73,127.0,Stan Love,23.0,BAL,PF,72.0,,13.8,2.6,6.1,0.436,1.1,1.4,0.79,4.2,0.6,2.4,6.4,
1972-73,128.0,Jim Price,23.0,LAL,PG,59.0,,14.0,2.7,6.1,0.44,1.0,1.2,0.822,1.9,1.6,2.0,6.4,ROY-4
1972-73,129.0,Joe Ellis,28.0,GSW,PF,74.0,,14.2,2.7,6.6,0.409,0.9,1.3,0.742,3.8,1.2,1.9,6.3,
1972-73,130.0,Clyde Lee,28.0,GSW,PF,66.0,,22.4,2.6,5.5,0.466,1.1,2.0,0.565,9.1,0.5,2.8,6.3,
1972-73,131.0,Bud Stallworth,23.0,SEA,SF,77.0,,15.9,2.6,6.8,0.379,1.1,1.5,0.754,2.9,0.8,1.8,6.3,ROY-5
1972-73,132.0,Terry Dischinger,32.0,POR,SF,63.0,,15.4,2.6,5.4,0.476,1.0,1.5,0.667,3.0,1.6,2.0,6.1,
1972-73,133.0,Howard Komives,31.0,BUF,PG,67.0,,21.9,2.4,6.4,0.38,1.3,1.5,0.867,1.8,3.6,2.3,6.1,
1972-73,134.0,Corky Calhoun,22.0,PHO,SF,82.0,,24.7,2.6,5.5,0.469,0.9,1.2,0.74,4.1,0.9,2.6,6.0,
1972-73,135.0,Dave Stallworth,31.0,BAL,SF,73.0,,16.7,2.5,6.0,0.414,1.1,1.4,0.772,3.2,1.5,1.9,6.0,
1972-73,136.0,Ron Williams,28.0,GSW,PG,73.0,,13.9,2.5,5.6,0.44,1.0,1.1,0.904,1.1,1.6,1.5,6.0,
1972-73,137.0,Larry Steele,23.0,POR,SG,66.0,,19.7,2.4,5.0,0.483,1.1,1.3,0.798,2.3,2.4,2.7,5.9,
1972-73,138.0,Jim Cleamons,23.0,CLE,PG,80.0,,17.4,2.4,5.3,0.454,0.9,1.3,0.743,2.1,2.6,1.4,5.7,
1972-73,139.0,Dean Meminger,24.0,NYK,SG,80.0,8.0,18.2,2.4,4.6,0.515,1.0,1.6,0.628,2.9,1.7,1.4,5.7,
1972-73,140.0,Cornell Warner,24.0,2TM,C,72.0,,19.0,2.4,5.8,0.413,0.8,1.3,0.656,7.3,1.0,2.5,5.7,
1972-73,140.0,Cornell Warner,24.0,BUF,C,4.0,,11.8,2.0,4.3,0.471,0.3,0.5,0.5,3.8,1.5,1.5,4.3,
1972-73,140.0,Cornell Warner,24.0,CLE,C,68.0,,19.5,2.4,5.9,0.411,0.9,1.3,0.659,7.5,1.0,2.5,5.7,
1972-73,141.0,Hal Greer,36.0,PHI,PG,38.0,17.0,22.3,2.4,6.1,0.392,0.8,1.0,0.821,2.8,2.9,2.0,5.6,
1972-73,142.0,Jim McDaniels,24.0,SEA,C,68.0,,16.1,2.3,5.7,0.399,1.0,1.5,0.7,5.1,1.1,2.1,5.6,
1972-73,143.0,Dave Sorenson,24.0,2TM,PF,58.0,0.0,13.0,2.1,5.1,0.423,1.1,1.6,0.711,3.6,0.6,1.8,5.4,
1972-73,143.0,Dave Sorenson,24.0,CLE,PF,10.0,,12.9,1.1,4.5,0.244,0.5,1.1,0.455,3.7,0.5,1.6,2.7,
1972-73,143.0,Dave Sorenson,24.0,PHI,PF,48.0,0.0,13.0,2.4,5.2,0.456,1.2,1.6,0.747,3.6,0.6,1.9,5.9,
1972-73,144.0,Terry Driscoll,25.0,2TM,C,60.0,,16.1,2.3,5.5,0.428,0.7,1.0,0.694,5.0,0.9,2.4,5.4,
1972-73,144.0,Terry Driscoll,25.0,BAL,PF,1.0,,5.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,
1972-73,144.0,Terry Driscoll,25.0,MIL,C,59.0,,16.3,2.4,5.5,0.429,0.7,1.1,0.694,5.0,0.9,2.4,5.5,
1972-73,145.0,Charles Johnson,23.0,GSW,SG,70.0,,12.7,2.4,5.7,0.428,0.5,0.7,0.717,1.9,1.7,1.5,5.4,
1972-73,146.0,Dale Schlueter,27.0,PHI,C,78.0,10.0,14.6,2.1,4.1,0.524,1.1,1.6,0.699,4.5,1.3,2.1,5.4,
1972-73,147.0,Mickey Davis,22.0,MIL,SF,74.0,,14.1,2.1,4.7,0.438,1.0,1.2,0.826,3.1,1.0,1.6,5.1,
1972-73,148.0,Howard Porter,24.0,CHI,PF,43.0,0.0,9.5,2.3,5.0,0.452,0.5,0.7,0.759,2.7,0.4,1.2,5.1,
1972-73,149.0,Mike Price,24.0,PHI,SG,57.0,5.0,13.2,2.2,5.3,0.415,0.7,0.8,0.809,2.1,1.2,1.9,5.1,
1972-73,150.0,Wali Jones,30.0,MIL,SG,27.0,,15.5,2.2,5.4,0.407,0.6,0.7,0.889,1.1,2.1,1.4,5.0,
1972-73,151.0,Walt Hazzard,30.0,2TM,PG,55.0,,13.9,1.9,4.7,0.418,0.9,1.0,0.825,1.6,2.3,2.0,4.7,
1972-73,151.0,Walt Hazzard,30.0,BUF,PG,9.0,,14.9,2.8,6.7,0.417,0.3,0.7,0.5,1.1,1.9,2.1,5.9,
1972-73,151.0,Walt Hazzard,30.0,GSW,PG,46.0,,13.7,1.8,4.3,0.418,1.0,1.1,0.863,1.7,2.4,2.0,4.5,
