Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,PersonalFouls,Points,Awards
1973-74,174.0,Greg Smith,27.0,POR,SF,67.0,,13.1,1.5,3.4,0.434,0.7,1.2,0.608,1.0,1.9,2.8,1.2,0.6,0.1,1.9,3.7,
1973-74,175.0,Otto Moore,27.0,2TM,C,78.0,,12.1,1.5,3.1,0.5,0.5,0.8,0.629,1.0,2.6,3.6,0.8,0.3,0.6,1.3,3.6,
1973-74,175.0,Otto Moore,27.0,HOU,C,13.0,,24.1,2.5,5.3,0.464,0.3,0.6,0.5,1.5,4.9,6.5,1.4,0.8,1.4,2.8,5.2,
1973-74,175.0,Otto Moore,27.0,KCO,C,65.0,,9.7,1.4,2.6,0.515,0.5,0.8,0.648,0.9,2.2,3.1,0.7,0.2,0.5,1.0,3.2,
1973-74,176.0,Kevin Kunnert,22.0,2TM,C,64.0,,11.0,1.6,3.4,0.488,0.3,0.5,0.636,1.3,2.1,3.4,0.7,0.2,0.8,2.4,3.6,
1973-74,176.0,Kevin Kunnert,22.0,BUF,C,39.0,,8.7,1.3,2.6,0.485,0.3,0.4,0.688,1.1,1.6,2.7,0.6,0.1,0.6,2.1,2.8,
1973-74,176.0,Kevin Kunnert,22.0,HOU,C,25.0,,14.4,2.2,4.6,0.491,0.4,0.7,0.588,1.6,2.8,4.4,0.7,0.2,1.2,2.7,4.9,
1973-74,177.0,John Wetzel,29.0,ATL,SG,70.0,,17.6,1.5,3.6,0.425,0.6,0.8,0.719,0.6,1.9,2.4,2.0,1.0,0.3,2.1,3.6,
1973-74,178.0,Harthorne Wingo,26.0,NYK,PF,60.0,0.0,8.9,1.4,2.9,0.477,0.8,1.3,0.632,1.2,1.6,2.8,0.4,0.1,0.2,1.4,3.5,
1973-74,179.0,Tom Boerwinkle,28.0,CHI,C,46.0,9.0,13.1,1.3,2.6,0.487,0.9,1.3,0.7,1.2,3.5,4.6,2.0,0.3,0.4,1.7,3.4,
1973-74,180.0,Rick Adelman,27.0,CHI,PG,55.0,0.0,11.2,1.2,3.1,0.376,1.0,1.4,0.711,0.3,1.0,1.3,1.0,0.7,0.0,1.1,3.3,
1973-74,181.0,Mel Counts,32.0,LAL,C,45.0,,11.1,1.4,3.7,0.365,0.5,0.7,0.727,1.2,2.0,3.2,1.2,0.4,0.5,1.9,3.2,
1973-74,182.0,Terry Driscoll,26.0,MIL,PF,64.0,,10.9,1.4,2.9,0.471,0.5,0.7,0.652,1.1,2.0,3.1,0.8,0.3,0.3,1.9,3.2,
1973-74,183.0,Nate Hawthorne,24.0,LAL,SG,33.0,,6.9,1.2,2.8,0.409,0.9,1.5,0.625,0.5,0.5,1.0,0.7,0.3,0.2,1.0,3.2,
1973-74,184.0,Jim Owens,23.0,PHO,SF,17.0,,5.9,1.2,2.3,0.538,0.6,0.8,0.786,0.1,0.5,0.5,0.9,0.3,0.0,0.4,3.1,
1973-74,185.0,Milt Williams,28.0,SEA,PG,53.0,,9.5,1.2,2.8,0.416,0.8,1.2,0.651,0.4,0.5,0.9,1.9,0.5,0.0,1.5,3.1,
1973-74,186.0,Rod Freeman,23.0,PHI,SF,35.0,0.0,7.6,1.1,2.9,0.379,0.8,1.2,0.683,0.6,0.9,1.5,0.4,0.3,0.0,1.2,3.0,
1973-74,187.0,Bob Nash,23.0,DET,SF,35.0,,8.0,1.2,3.3,0.357,0.7,1.1,0.615,0.9,1.2,2.1,0.4,0.1,0.3,1.0,3.0,
1973-74,188.0,Lee Winfield,26.0,BUF,PG,36.0,,12.0,1.0,2.9,0.352,0.9,1.4,0.635,0.5,0.7,1.2,1.3,0.4,0.1,1.2,3.0,
1973-74,189.0,Tom Kozelko,22.0,CAP,PF,49.0,,11.7,1.2,2.7,0.444,0.5,0.7,0.719,1.1,1.5,2.5,0.5,0.4,0.1,1.7,2.9,
1973-74,190.0,Dale Schlueter,28.0,ATL,C,57.0,,9.6,1.1,2.4,0.467,0.7,0.9,0.76,0.9,1.8,2.7,0.8,0.4,0.4,1.5,2.9,
1973-74,191.0,Joe Ellis,29.0,GSW,SF,50.0,,10.3,1.2,3.8,0.321,0.4,0.6,0.581,0.7,1.7,2.4,0.7,0.7,0.2,1.5,2.8,
1973-74,192.0,Dennis Awtrey,25.0,CHI,C,68.0,1.0,11.1,1.0,1.8,0.528,0.8,1.4,0.574,0.7,1.8,2.6,1.3,0.3,0.2,1.9,2.7,
1973-74,193.0,Steve Downing,23.0,BOS,C,24.0,,5.7,0.9,2.7,0.328,0.9,1.6,0.579,0.6,1.0,1.6,0.5,0.2,0.0,1.4,2.7,
1973-74,194.0,Tom Ingelsby,22.0,ATL,PG,48.0,,8.3,1.0,2.7,0.382,0.6,0.8,0.784,0.2,0.7,0.9,0.8,0.4,0.1,0.9,2.7,
1973-74,195.0,Mel Davis,23.0,NYK,PF,30.0,0.0,5.6,1.1,3.2,0.347,0.4,0.5,0.75,0.6,1.2,1.8,0.3,0.1,0.1,1.2,2.6,
1973-74,196.0,Art Williams,34.0,BOS,PG,67.0,,9.2,1.1,2.5,0.435,0.4,0.5,0.844,0.3,1.4,1.7,2.4,0.7,0.0,1.5,2.6,
1973-74,197.0,Dick Garrett,27.0,2TM,SG,40.0,0.0,8.2,1.1,3.2,0.341,0.4,0.5,0.789,0.4,0.6,1.0,0.6,0.3,0.0,1.4,2.5,
1973-74,197.0,Dick Garrett,27.0,NYK,SG,25.0,0.0,9.6,1.3,3.6,0.352,0.4,0.5,0.769,0.4,0.6,1.0,0.6,0.3,0.0,1.6,3.0,
1973-74,197.0,Dick Garrett,27.0,MIL,SG,15.0,,5.8,0.7,2.3,0.314,0.3,0.4,0.833,0.3,0.6,0.9,0.6,0.2,0.0,1.0,1.8,
1973-74,198.0,Hank Finkel,31.0,BOS,C,60.0,,7.1,1.0,2.2,0.462,0.5,0.7,0.651,0.7,1.6,2.3,0.5,0.1,0.1,1.0,2.5,
1973-74,199.0,Russ Lee,24.0,MIL,SF,36.0,,4.6,1.1,2.6,0.404,0.3,0.4,0.688,0.4,0.7,1.1,0.6,0.3,0.0,0.8,2.4,
1973-74,200.0,Ted Manakas,22.0,KCO,SG,5.0,,9.0,0.8,2.0,0.4,0.8,0.8,1.0,0.0,0.6,0.6,0.4,0.2,0.0,0.8,2.4,
1973-74,201.0,Joe Reaves,23.0,PHO,SF,7.0,,5.4,0.9,1.6,0.545,0.6,1.6,0.364,0.3,0.9,1.1,0.1,0.0,0.3,0.9,2.3,
1973-74,202.0,Tom Riker,23.0,NYK,C,17.0,0.0,3.4,0.8,1.7,0.448,0.7,1.0,0.706,0.5,0.4,0.9,0.2,0.0,0.0,0.4,2.2,
1973-74,203.0,George Johnson,26.0,HOU,C,26.0,,9.2,0.9,2.0,0.451,0.3,0.7,0.471,0.8,1.6,2.3,0.3,0.3,0.3,1.8,2.1,
1973-74,204.0,Allie McGuire,22.0,NYK,SG,2.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,1.0,2.0,
1973-74,205.0,Luther Rackley,27.0,PHI,C,9.0,0.0,7.6,0.6,1.4,0.385,0.9,1.2,0.727,0.6,1.9,2.4,0.0,0.3,0.4,1.2,2.0,
1973-74,206.0,Justus Thigpen,26.0,KCO,SG,1.0,,2.0,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,
1973-74,207.0,John Tschogl,23.0,ATL,SF,64.0,,7.8,0.9,2.6,0.355,0.2,0.3,0.588,0.5,0.7,1.2,0.5,0.3,0.3,1.1,2.0,
1973-74,208.0,Ben Kelso,24.0,DET,SG,46.0,,6.5,0.8,2.1,0.365,0.3,0.5,0.682,0.3,0.3,0.7,0.4,0.3,0.0,1.0,1.8,
1973-74,209.0,Stan McKenzie,29.0,HOU,SG,11.0,,10.2,0.6,2.2,0.292,0.5,0.7,0.75,0.3,1.2,1.5,0.5,0.3,0.0,1.5,1.8,
1973-74,210.0,Mike Macaluso,22.0,BUF,SF,30.0,,3.7,0.6,1.5,0.432,0.3,0.6,0.588,0.3,0.5,0.8,0.1,0.2,0.0,1.0,1.6,
1973-74,211.0,Mark Sibley,23.0,POR,SG,28.0,,4.4,0.7,2.0,0.357,0.2,0.3,0.857,0.3,0.6,0.9,0.5,0.1,0.0,0.8,1.6,
1973-74,212.0,Paul Ruffner,25.0,BUF,C,20.0,,2.6,0.6,1.4,0.407,0.4,0.7,0.615,0.2,0.4,0.6,0.0,0.1,0.1,0.5,1.5,
1973-74,213.0,Vester Marshall,25.0,SEA,SF,13.0,,13.4,0.5,2.2,0.241,0.2,0.5,0.429,1.1,1.8,2.8,0.3,0.3,0.2,1.5,1.3,
1973-74,214.0,Rich Rinaldi,24.0,CAP,SG,7.0,,6.9,0.4,3.1,0.136,0.4,0.6,0.75,0.3,0.7,1.0,1.4,0.4,0.1,1.0,1.3,
1973-74,215.0,Chuck Terry,23.0,MIL,SF,7.0,,4.6,0.6,1.7,0.333,0.0,0.0,,0.1,0.3,0.4,0.6,0.3,0.0,0.6,1.1,
1973-74,216.0,Travis Grant,24.0,LAL,SF,3.0,,2.0,0.3,1.3,0.25,0.3,1.0,0.333,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.0,
1973-74,217.0,Dick Cunningham,27.0,MIL,C,8.0,,5.6,0.4,0.8,0.5,0.0,0.9,0.0,0.1,1.9,2.0,0.0,0.3,0.3,0.6,0.8,
1973-74,218.0,Paul McCracken,23.0,HOU,SG,4.0,,3.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.3,1.5,0.5,0.0,0.0,0.8,0.5,
1973-74,219.0,Tom Patterson,25.0,CAP,SF,2.0,,4.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,
1973-74,220.0,Jim Garvin,23.0,BUF,PF,6.0,,1.8,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.8,0.0,0.0,0.0,0.2,0.3,
1973-74,221.0,Dennis Bell,22.0,NYK,SF,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973-74,222.0,Mike Ratliff,22.0,KCO,C,2.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973-74,,League Average,,,,,,,,,0.459,,,0.771,,,,,,,,,
