Season,Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1969-70,38.0,Johnny Green,36.0,CIN,PF,78.0,29.2,6.2,11.0,0.559,3.3,5.5,0.592,10.8,1.4,3.4,15.6,
1969-70,39.0,Jerry Sloan,27.0,CHI,SF,53.0,34.4,5.8,13.9,0.421,3.9,6.0,0.651,7.0,3.1,3.4,15.6,
1969-70,40.0,Don Nelson,29.0,BOS,PF,82.0,27.1,5.6,11.2,0.501,4.1,5.3,0.775,7.3,1.8,2.9,15.4,
1969-70,41.0,Walt Hazzard,27.0,ATL,PG,82.0,33.6,6.0,12.9,0.467,3.3,4.0,0.809,4.0,6.8,3.2,15.3,MVP-12
1969-70,42.0,Don Kojis,31.0,SDR,SF,56.0,28.2,6.0,13.5,0.447,3.2,4.3,0.751,6.9,1.4,2.4,15.3,
1969-70,43.0,Bob Boozer,32.0,SEA,PF,82.0,31.1,6.0,12.3,0.491,3.2,3.9,0.822,8.7,1.3,2.9,15.2,
1969-70,44.0,Jerry Lucas,29.0,2TM,PF,67.0,36.1,6.0,11.9,0.507,3.0,3.8,0.784,14.2,2.6,2.4,15.1,
1969-70,44.0,Jerry Lucas,29.0,CIN,PF,4.0,29.5,4.5,8.8,0.514,1.3,1.8,0.714,11.3,2.3,1.3,10.3,
1969-70,44.0,Jerry Lucas,29.0,SFW,PF,63.0,36.5,6.1,12.1,0.507,3.1,3.9,0.786,14.4,2.6,2.5,15.4,
1969-70,45.0,Dick Barnett,33.0,NYK,SG,82.0,33.8,6.0,12.7,0.475,2.8,4.0,0.714,2.7,3.6,2.7,14.9,
1969-70,46.0,Jim Barnett,25.0,SDR,SG,80.0,26.3,5.6,12.5,0.451,3.6,4.6,0.79,3.8,3.6,2.8,14.9,
1969-70,47.0,Bill Bridges,30.0,ATL,PF,82.0,39.9,5.4,11.4,0.475,4.0,5.5,0.734,14.4,4.2,3.6,14.8,"MVP-8,AS"
1969-70,48.0,Fred Foster,23.0,CIN,SF,74.0,28.1,6.2,13.9,0.449,2.4,3.3,0.724,4.2,1.4,2.8,14.8,
1969-70,49.0,Ron Williams,25.0,SFW,PG,80.0,30.4,5.7,13.1,0.432,3.5,4.2,0.822,2.4,5.3,3.6,14.8,
1969-70,50.0,Dave DeBusschere,29.0,NYK,PF,79.0,33.3,6.2,13.7,0.451,2.2,3.2,0.688,10.0,2.5,3.1,14.6,AS
1969-70,51.0,John Block,25.0,SDR,PF,82.0,26.2,5.5,12.5,0.442,3.5,4.5,0.782,7.4,1.7,3.4,14.5,
1969-70,52.0,Bill Bradley,26.0,NYK,SF,67.0,31.3,6.2,13.4,0.46,2.2,2.6,0.824,3.6,4.0,3.3,14.5,
1969-70,53.0,Stu Lantz,23.0,SDR,PG,82.0,30.1,5.5,12.5,0.443,3.4,4.4,0.77,3.1,3.5,2.9,14.5,
1969-70,54.0,Jim Davis,28.0,ATL,C,82.0,32.0,5.3,11.5,0.464,2.9,3.9,0.755,9.7,2.9,4.1,13.6,
1969-70,55.0,Darrall Imhoff,31.0,PHI,C,79.0,31.3,5.4,10.1,0.54,2.7,4.2,0.65,9.5,2.7,3.7,13.6,
1969-70,56.0,Dick Snyder,25.0,2TM,SG,82.0,29.7,5.6,10.5,0.528,2.1,2.5,0.813,3.9,4.2,3.4,13.2,
1969-70,56.0,Dick Snyder,25.0,PHO,,6.0,24.5,3.7,7.5,0.489,1.2,1.3,0.875,2.5,1.5,3.3,8.5,
1969-70,56.0,Dick Snyder,25.0,SEA,SG,76.0,30.1,5.7,10.8,0.531,2.1,2.6,0.81,4.1,4.4,3.4,13.6,
1969-70,57.0,Bob Dandridge,22.0,MIL,SF,81.0,30.4,5.4,11.0,0.485,2.5,3.3,0.754,7.7,3.6,3.4,13.2,
1969-70,58.0,Eddie Miles,29.0,2TM,SG,47.0,27.6,5.1,11.5,0.44,2.8,3.7,0.76,3.8,1.8,2.3,13.0,
1969-70,58.0,Eddie Miles,29.0,DET,SG,44.0,28.3,5.3,12.1,0.435,3.0,3.9,0.765,3.9,1.9,2.3,13.5,
1969-70,58.0,Eddie Miles,29.0,BAL,SG,3.0,17.3,2.3,3.3,0.7,1.0,1.7,0.6,1.3,1.3,2.7,5.7,
1969-70,59.0,Jim Fox,26.0,PHO,C,81.0,25.2,5.1,9.7,0.524,2.7,3.5,0.77,7.0,1.1,3.2,12.9,
1969-70,60.0,Paul Silas,26.0,PHO,PF,78.0,36.4,4.8,10.3,0.464,3.2,5.3,0.607,11.7,2.7,3.4,12.8,
1969-70,61.0,Jim Washington,26.0,PHI,PF,79.0,31.1,5.1,10.7,0.476,2.6,3.5,0.747,9.3,1.3,3.3,12.7,
1969-70,62.0,Mel Counts,28.0,LAL,C,81.0,27.1,5.4,12.6,0.427,1.9,2.5,0.776,8.4,2.0,3.8,12.6,
1969-70,63.0,Bailey Howell,33.0,BOS,PF,82.0,25.3,4.9,11.4,0.429,2.9,3.8,0.763,6.7,1.5,3.2,12.6,
1969-70,64.0,Larry Siegfried,30.0,BOS,PG,78.0,26.7,4.9,11.6,0.424,2.8,3.3,0.856,2.7,3.8,2.4,12.6,
1969-70,65.0,Tom Meschery,31.0,SEA,SF,80.0,28.7,4.9,10.2,0.482,2.5,3.1,0.79,8.3,2.0,4.0,12.3,
1969-70,66.0,Jo Jo White,23.0,BOS,PG,60.0,22.1,5.2,11.4,0.452,1.9,2.3,0.822,2.8,2.4,2.2,12.2,
1969-70,67.0,Mike Davis,23.0,BAL,SG,56.0,23.8,4.6,10.5,0.444,2.7,3.4,0.776,2.3,2.0,3.1,11.9,
1969-70,68.0,Otto Moore,23.0,DET,C,81.0,31.1,4.7,9.9,0.476,2.4,3.8,0.636,11.1,1.3,2.9,11.9,MVP-16
1969-70,69.0,Wali Jones,27.0,PHI,PG,78.0,22.3,4.7,10.9,0.43,2.4,2.9,0.841,2.2,3.5,2.7,11.8,
1969-70,70.0,Walt Bellamy,30.0,2TM,C,79.0,25.7,4.4,8.5,0.523,2.7,4.7,0.576,8.9,1.8,3.3,11.6,MVP-12
1969-70,70.0,Walt Bellamy,30.0,DET,C,56.0,20.9,3.8,6.9,0.547,2.5,4.4,0.562,7.1,1.0,2.9,10.0,
1969-70,70.0,Walt Bellamy,30.0,ATL,C,23.0,37.2,6.1,12.5,0.491,3.3,5.4,0.605,13.5,3.8,4.2,15.5,
1969-70,71.0,Dick Garrett,23.0,LAL,SG,73.0,31.8,4.8,11.2,0.434,1.9,2.2,0.852,3.2,2.5,3.2,11.6,
1969-70,72.0,Cazzie Russell,25.0,NYK,SF,78.0,20.0,4.9,9.9,0.498,1.6,2.1,0.775,3.0,1.7,1.8,11.5,
1969-70,73.0,Tom Sanders,31.0,BOS,SF,57.0,28.4,4.3,9.7,0.443,2.8,3.2,0.88,5.5,1.6,3.5,11.5,
1969-70,74.0,Bob Weiss,27.0,CHI,PG,82.0,31.0,4.5,10.4,0.427,2.6,3.1,0.842,2.8,5.8,2.5,11.5,
1969-70,75.0,Terry Dischinger,29.0,DET,SF,75.0,23.4,4.6,8.7,0.526,2.3,3.2,0.722,4.9,1.4,2.8,11.4,
1969-70,76.0,Howard Komives,28.0,DET,PG,82.0,29.5,4.4,10.7,0.413,2.3,2.9,0.812,2.4,3.8,3.0,11.2,
1969-70,77.0,Clyde Lee,25.0,SFW,C,82.0,32.2,4.4,10.0,0.44,2.2,3.7,0.593,11.3,1.0,3.2,11.0,
1969-70,78.0,John Tresvant,30.0,2TM,PF,69.0,21.7,3.8,8.6,0.444,3.0,4.1,0.725,6.2,1.6,3.0,10.6,
1969-70,78.0,John Tresvant,30.0,SEA,PF,49.0,26.1,4.4,10.3,0.428,3.7,5.1,0.735,7.4,1.9,3.3,12.6,
1969-70,78.0,John Tresvant,30.0,LAL,PF,20.0,11.1,2.4,4.4,0.534,1.2,1.8,0.657,3.2,0.9,2.0,5.9,
1969-70,79.0,Tom Boerwinkle,24.0,CHI,C,81.0,28.8,4.3,9.6,0.449,1.9,2.8,0.664,12.5,2.8,3.1,10.4,
1969-70,80.0,Erwin Mueller,25.0,2TM,PF,78.0,30.2,3.8,8.3,0.464,2.4,3.4,0.719,6.2,2.6,2.5,10.1,
1969-70,80.0,Erwin Mueller,25.0,SEA,PF,4.0,17.3,3.3,8.0,0.406,1.0,2.3,0.444,3.5,1.5,1.5,7.5,
1969-70,80.0,Erwin Mueller,25.0,DET,PF,74.0,30.9,3.9,8.3,0.467,2.5,3.4,0.728,6.3,2.7,2.5,10.3,
